loan_amount,income,credit_score,loan_term,existing_loans,default
141958,47771,318,48,2,1
166867,59975,753,60,1,0
151932,75648,781,48,2,0
279178,78285,696,36,3,0
139879,49063,578,48,0,1
130268,97642,664,36,2,0
227892,120093,630,12,0,0
74886,144390,643,48,0,0
157337,116143,754,60,1,0
107498,67599,364,36,1,1
195203,81920,375,60,3,1
211335,58529,442,24,4,1
298167,65954,772,36,0,0
61090,57856,716,48,4,1
84820,32573,604,36,3,0
282913,108344,796,60,0,0
214027,65367,590,12,0,1
272709,132337,401,36,4,1
219041,136732,566,48,2,1
287455,129608,302,24,1,1
123355,90774,384,72,2,1
255796,53752,627,12,4,1
234176,85029,749,24,1,0
204779,47685,753,36,2,1
278795,81693,520,60,1,1
176730,146739,453,60,0,1
169503,85961,311,48,2,1
150523,136937,432,60,1,1
22747,106908,603,12,1,0
143855,104532,592,60,1,1
85725,111994,599,48,2,1
149981,86133,342,72,3,1
104654,127425,642,36,2,0
87435,91268,625,36,4,1
51551,122201,797,60,2,0
293538,68243,663,24,1,0
23890,87384,726,36,0,0
61606,61653,320,72,2,1
276840,56657,706,60,2,0
161699,69952,635,48,1,0
290936,52180,416,72,0,1
259931,127432,423,60,0,1
259629,108411,698,72,4,1
225041,31622,350,36,2,1
194073,78756,623,48,0,0
227624,70809,440,60,0,1
88148,46725,769,12,3,0
272801,91396,633,48,3,0
144243,81226,672,12,0,0
271995,136296,793,72,4,1
174555,111182,838,24,0,0
68555,112565,455,48,1,1
276508,59402,590,72,2,1
299303,34263,443,12,4,1
126530,126523,405,36,1,1
100077,76828,719,36,4,1
220551,77924,301,24,1,1
228261,104182,389,48,2,1
260181,123065,644,48,2,0
191829,89052,649,48,3,0
291836,41664,758,72,1,1
222283,65737,562,24,3,1
216769,131332,650,48,1,0
57065,119563,407,72,3,1
243165,59373,338,36,2,1
119299,147369,458,12,4,1
31534,66397,611,72,3,0
60397,116145,540,36,1,1
277750,131371,744,36,1,0
283160,68709,597,12,2,1
75591,146074,335,36,1,1
240884,91120,383,24,0,1
43247,49250,751,12,4,1
44300,51172,684,36,3,0
102798,41555,471,60,4,1
29268,117410,675,72,2,0
294329,108617,661,36,3,0
214776,83276,440,24,3,1
237851,87492,417,48,0,1
256584,83002,576,36,2,1
58044,119599,519,48,1,1
68984,102355,325,60,0,1
284712,121248,820,36,0,0
140151,54762,309,12,4,1
153767,41046,677,48,4,1
144375,126999,451,60,4,1
199262,146021,348,12,0,1
156330,58769,453,12,1,1
184231,83302,592,12,3,1
